901,1964
1964,1229
1229,901
781,901
1229,781
781,255
255,901
824,1591
1591,1229
1229,824
1591,1354
1354,1229
781,902
902,255
901,771
771,1964
255,771
771,55
55,1964
1354,850
850,1229
1354,1914
1914,850
850,781
1914,781
1354,1085
1085,1914
826,1241
1241,1581
1581,826
229,1366
1366,801
801,229
1247,629
629,1937
1937,1247
1735,269
269,1638
1638,1735
902,269
269,255
269,771
1735,55
55,269
1667,1354
1591,1667
1510,1787
1787,1595
1595,1510
944,76
76,1486
1486,944
631,1772
1772,8
8,631
1772,576
576,8
576,1454
1454,1598
1598,576
595,1541
1541,232
232,595
482,595
232,482
141,1651
1651,449
449,141
629,556
556,1937
431,556
629,431
269,1797
1797,1638
1622,269
902,1622
781,1622
824,961
961,1591
786,1626
1626,833
833,786
933,1085
1354,933
1667,933
1667,1085
1896,1667
1591,1896
961,1896
961,63
63,1896
170,826
1581,170
1085,297
297,1914
529,1622
1622,1209
1209,529
130,1510
1595,130
889,693
693,1595
1595,889
693,1899
1899,1595
631,1296
1296,1772
1574,1192
1192,1435
1435,1574
1192,213
213,1435
44,1574
1574,294
294,44
576,1616
1616,8
1616,1247
1247,254
254,1616
1616,223
223,8
1493,8
223,1493
1192,777
777,154
154,1192
1574,777
1461,145
145,1772
1772,1461
145,576
145,1454
595,1164
1164,1541
1158,229
801,1158
406,1158
801,406
1158,1774
1774,229
406,1774
1118,51
51,463
463,1118
1763,269
269,658
658,1763
1763,1797
119,1705
1705,824
824,119
119,1626
1626,1705
596,1705
1626,596
786,596
786,63
63,596
596,824
596,961
786,1439
1439,63
1439,1896
833,1439
1667,1298
1298,1085
1298,297
546,757
757,826
826,546
446,170
1581,446
847,1501
1501,1024
1024,847
1787,30
30,40
40,1787
30,1544
1544,40
217,1367
1367,1988
1988,217
217,1109
1109,1367
1221,217
1988,1221
1221,946
946,217
28,297
297,1109
1109,28
217,28
28,1914
1622,28
28,1209
28,781
1622,1251
1251,269
529,1251
1251,658
175,1251
1251,1948
1948,175
205,606
606,1101
1101,205
177,205
1101,177
1396,177
1101,1396
1534,944
1486,1534
1899,319
319,1595
1468,319
1899,1468
703,1468
1899,703
703,1578
1578,1468
1543,1993
1993,1435
1435,1543
1543,326
326,1993
1672,1543
1543,1965
1965,1672
1834,576
1598,1834
1639,1771
1771,980
980,1639
987,1493
223,987
